23.993	206.118	127.345
90.074	115.785	188.090
314.533	72.480	91.601
302.411	284.883	282.015
306.126	120.406	11.698
42.721	224.732	217.933
53.360	98.640	79.246
101.678	223.391	321.168
51.053	160.561	65.533
326.793	189.072	183.130
66.334	60.610	325.333
166.767	218.104	321.129
76.409	62.404	134.347
286.511	343.513	219.442
340.971	343.568	3.078
119.718	272.043	11.952
15.935	160.789	77.160
231.393	353.165	169.357
295.791	98.625	163.776
280.295	113.548	71.616
165.889	5.273	39.856
128.512	107.732	139.432
96.126	8.725	193.389
149.818	0.050	99.436
205.547	77.321	292.142
241.607	291.893	133.364
241.123	325.606	264.560
315.567	16.408	329.090
13.914	355.611	322.778
322.546	20.998	331.441
